Оригинал	Утверждено	Фаргус	Изменено	Примечание	Пример файла
Kuo-Toa Leader	(н/у)	Вождь Куо-тоа	не утв.	гуманоид, анимация=KUO-TOA_LARGE - 32552	udkuo01.CRE
Kuo-Toa Lieutenant	(н/у)	Лейтенант Куо-тоа	не утв.	гуманоид, анимация=Куо-тоа	kuolie01.CRE
Kuo-Toa Monitor	(н/у)	Советник Куо-тоа	не утв.	гуманоид, анимация=KUO-TOA_LARGE - 32552	kuomon01.CRE
Kuo-Toa Priest	(н/у)	Жрец Куо-тоа	не утв.	гуманоид, анимация=Куо-тоа	gorkuo03.CRE
Kuo-Toa Prince	(н/у)	Принц Куо-тоа	не утв.	гуманоид, анимация=KUO-TOA_LARGE - 32552	udprince.CRE
Kuo-Toa Warrior	(н/у)	Воин Куо-тоа	не утв.	гуманоид, анимация=Куо-тоа	gorkuo01.CRE
Kuo-Toa Whip	(н/у)	Каприз Куо-тоа	не утв.	гуманоид, анимация=Куо-тоа	elekuo02.CRE
Kuo-Toa Wizard	(н/у)	Волшебник Куо-тоа	не утв.	гуманоид, анимация=Куо-тоа	kuomag01.CRE
Kurtulmak	Куртулмак	Куртулмак, Картальмак	да	бог кобольдов в лабиринте Спеллхолда, его сущность попала в кристалл	(-)
Kveroslava	(н/у)	Кверослава	не утв.	гуманоид, анимация=крестьянка	trgyp02.CRE
Kyland Lind	(н/у)	Кайланд Линд	не утв.	гуманоид, анимация=мужчина-клерик	tdr10a.CRE
Kylie Jansen	(н/у)	Кайли Янсен	не утв.	гуманоид, анимация=THIEF_FEMALE_GNOME - 25364	kylie.CRE
Kysus	(н/у)	Кисус	не утв.	гуманоид, анимация=мужчина-маг	kysus.CRE
Kzar	Кзар	(-)	да	такое имя в оригинальном тексте отсутствует - см.Xzar	(-)
Laborer	(н/у)	Рабочий	не утв.	гуманоид, анимация=мужчина-боец	worker01.CRE
Lacedon	(н/у)	Лакедон	не утв.	Нежить, анимация=GHOUL - 3464	lacedo01.CRE
Lachluger	(н/у)	Лахлагер	не утв.	гуманоид, анимация=крестьянин	lachlu.CRE
Lady Ashideena	Леди Ашидеена (н/у)	(-)	не утв.	(-)	(-)
Lady Beth	(н/у)	Леди Бет	не утв.	гуманоид, анимация=дворянка	bystand2.CRE
Lady Delcia Caan	(н/у)	Леди Дельсия Каан	не утв.	гуманоид, анимация=дворянка	delcia.CRE
Lady Diana	(н/у)	Леди Диана	не утв.	гуманоид, анимация=дворянка	bnoble2.CRE
Lady Elgea	(н/у)	Леди Эльджи	не утв.	гуманоид, анимация=дворянка	elgea.CRE
Lady Galvena	Леди Гальвена	(-)	да	(-)	(-)
Lady Hannah	(н/у)	Леди Ханна	не утв.	гуманоид, анимация=дворянка	hannah.CRE
Lady Irlana	(н/у)	Леди Ирлана	не утв.	гуманоид, анимация=женщина-боец	irlana.CRE
Lady Jysstev	(н/у)	Леди Джисстев	не утв.	гуманоид, анимация=дворянка	scljyss.CRE
Lady Lasalla	(н/у)	Леди Лашала	не утв.	гуманоид, анимация=дворянка	wcust05.CRE
Lady Lilith Lurraxol	(н/у)	Леди Лилит Люрраксол	не утв.	гуманоид, анимация=женщина-маг	trcut05.CRE
Lady Maria	(н/у)	Леди Мария	не утв.	гуманоид, анимация=дворянка	maria.CRE
Lady Merana	(н/у)	Леди Мерэйн	не утв.	гуманоид, анимация=STATIC_NOBLE_WOMAN_CHAIR - 164	trtavp02.CRE
Lady of Mysteries	Леди Тайн	в диалоге нет	да	Мистра	(-)
Lady of Pain	Госпожа Боли	(-)	да	правительница Сигила	(-)
Lady Ophal	(н/у)	Леди Офал	не утв.	гуманоид, анимация=STATIC_NOBLE_WOMAN_CHAIR - 164	noblew3.CRE
Lady Tandolan of Um	(н/у)	Леди Тандолан из Ама	не утв.	гуманоид, анимация=дворянка	fulady.CRE
Lady Tymora	Леди Тимора	(-)	да	Богиня Удачи	(-)
Lady Yuth	(н/у)	Леди Ют	не утв.	гуманоид, анимация=дворянка	scroll01.CRE
Laelbor	Лаелбор (н/у)	(-)	не утв.	(-)	(-)
Laen Torg	(н/у)	Лаэн Торг	не утв.	гуманоид, анимация=мужчина-боец	vulfgt01.CRE
Laerta	(н/у)	Лаэрта	не утв.	гуманоид, анимация=девочка	laerta.CRE
Lagole Gon	(н/у)	Лагол Ган	не утв.	Нежить, анимация=лич	celich.CRE
Lahl	(н/у)	Лахл	не утв.	гуманоид, анимация=мужчина-боец	lahl.CRE
Lakadaar	(н/у)	Лакадаар	не утв.	гуманоид, анимация=мужчина-боец	lakada.CRE
Lamalha	(н/у)	Ламала	не утв.	гуманоид, анимация=женщина-клерик	lamalh.CRE
Landlord	(н/у)	Землевладелец	не утв.	гуманоид, анимация=толстяк	landlord.CRE
Landrin	(н/у)	Ландрин	не утв.	гуманоид, анимация=женщина-дварф-маг	landri.CRE
Lanfear	(н/у)	Ланфеар	не утв.	гуманоид, анимация=WEREWOLF_GREATER - 32257	c6lanf.CRE
Lanie	(н/у)	Лейни	не утв.	гуманоид, анимация=девочка	clkid.CRE
Lanka	(н/у)	Ланка	не утв.	гуманоид, анимация=эльфийка-боец	plfarm02.CRE
Lantanara	(н/у)	Лантанара	не утв.	гуманоид, анимация=крестьянка	lantan.CRE
Laola Axehand	(н/у)	Лаола Эксхэнд	не утв.	гуманоид, анимация=женщина-клерик	laola.CRE
Largo	(н/у)	Ларго	не утв.	гуманоид, анимация=толстяк	wcust03.CRE
Larloch	Ларлок	(-)	да	автор заклинания?	(-)
Larriaz	(н/у)	Ларриаза	не утв.	монстр, анимация=SIRINE - 8192	larria.CRE
Larry	(н/у)	Ларри	не утв.	гуманоид, анимация=кобольд	larry.CRE
Larry the Solar	Солар Ларри	(-)	да	солар, спутник Тетушки Петунии (из рассказа Яна)	(-)
Laryssa	(н/у)	Лариса	не утв.	гуманоид, анимация=женщина-клерик	laryss.CRE
Larz	(н/у)	Ларц	не утв.	гуманоид, анимация=эльф-маг	mgappr01.CRE
Larze	(н/у)	Ларс	не утв.	гуманоид-гигант, анимация=огр	larze.CRE
Lasala	(н/у)	Ласала	не утв.	гуманоид, анимация=женщина-маг	lasala.CRE
Lasaonar	(н/у)	Ласаонар	не утв.	гуманоид, анимация=дроу	udlesa.CRE
Lashar'ra	(н/у)	Лашар'ра	не утв.	монстр, анимация=SPIDER_PHASE - 31234	senspi01.CRE
Laskal	(н/у)	Ласкал	не утв.	гуманоид, анимация=мужчина-клерик	laskal.CRE
Lassal	(н/у)	Лассал	не утв.	Нежить, анимация=вампир	lassal.CRE
Lastin	(н/у)	Ластин	не утв.	гуманоид, анимация=мужчина-боец	kpgrd01.CRE
Lathan	(н/у)	Латан	не утв.	гуманоид, анимация=THIEF_MALE_HUMAN_LOW - 21248	shthlt02.CRE
Lathander	Латандер	(-)	да	Бог, Властелин Утра	(-)
Lathidus	Латидус (н/у)	(-)	не утв.	оружейник, создавший меч Эксус Миталбре	(-)
Laurel	(н/у)	Лаурел	не утв.	гуманоид, анимация=женщина-боец	laurel.CRE
Lavok	Лавок	Лавок	нет	некромант, предок Валигара	lavok01.CRE
Layene	(н/у)	Лайене	не утв.	гуманоид, анимация=женщина-маг	hllayen.CRE
Lazarus	Лазарус	(-)	да	(-)	(-)
Lazarus Librarus	(н/у)	Библиотекарь Лазарус	не утв.	гуманоид, анимация=монах	25spell.CRE
Lea'liyl	Леа'Лайил	Леалиил	да	монстр, анимация=танарри	obsdem01.CRE
Legdoril	(н/у)	Легдорил	не утв.	гуманоид, анимация=мужчина-дварф-клерик8	legdor.CRE
Lehtinan	(н/у)	Лехтинан	не утв.	гуманоид, анимация=мужчина-боец	lehtin.CRE
Leila	(н/у)	Лейла	не утв.	гуманоид, анимация=куртизанка	amwenc01.CRE
Leira	Лейра (н/у)	(-)	не утв.	Богиня	(-)
Lena	(н/у)	Лена	не утв.	гуманоид, анимация=дворянка	lena.CRE
Lendarn	(н/у)	Лендарн	не утв.	гуманоид, анимация=мужчина-маг	lendar.CRE
Lennah	(н/у)	Леннан	не утв.	гуманоид, анимация=эльфийка-маг	jade1.CRE
Lenore	(н/у)	Ленор	не утв.	гуманоид, (надо посмотреть в БГ1)	LENORE.CRE
Leona	(н/у)	Леона	не утв.	гуманоид, анимация=женщина-боец	leona.CRE
Leopard	(н/у)	Леопард	не утв.	животное, анимация=GREATCAT_LEOPARD - 32523	catleo01.CRE
Ler	(н/у)	Лер	не утв.	гуманоид, анимация=крестьянин	bystand1.CRE
Lesser Air Elemental	(н/у)	Малая Элементаль Воздуха	не утв.	монстр, анимация=ELEMENTAL_AIR_SMALL - 29473	elairl01.CRE
Lesser Basilisk	(н/у)	Малый василиск	не утв.	монстр, анимация=BASILISK - 28928	basillsu.CRE
Lesser Clay Golem	(н/у)	Малый Глиняный Голем	не утв.	гуманоид-гигант, анимация=глиняный голем	igolfle1.CRE
Lesser Demon Lord	(н/у)	Младший Лорд Демонов	не утв.	монстр, анимация=танарри	demlord.CRE
Lesser Earth Elemental	(н/у)	Малая Элементаль Земли	не утв.	гуманоид-гигант, анимация=ELEMENTAL_EARTH_SMALL - 29441	elearl01.CRE
Lesser Fire Elemental	(н/у)	Малая Элементаль Огня	не утв.	гуманоид-гигант, анимация=ELEMENTAL_FIRE_SMALL - 29457	elefel01.CRE
Lestor	(н/у)	Лестор	не утв.	гуманоид, анимация=крестьянин	lestor.CRE
Lette	(н/у)	Летта	не утв.	гуманоид, анимация=мужчина-боец	plfarm01.CRE
Levin Rayn	(н/у)	Левин Райн	не утв.	гуманоид, анимация=мужчина-боец	c6levin.CRE
Lich	(н/у)	Лич	не утв.	Нежить, анимация=лич	dpmon02.CRE
Lieutenant Aegisfield	(н/у)	Лейтенант Эгисфилд	не утв.	гуманоид, анимация=мужчина-боец	inspect.CRE
Lieutenant Cleric	(н/у)	Лейтенант-Жрец	не утв.	гуманоид, анимация=мужчина-клерик	yaga04.CRE
Lieutenant Fighter	(н/у)	Лейтенант-воин	не утв.	гуманоид, анимация=мужчина-боец	yaga03.CRE
Lieutenant Mage	(н/у)	Лейтенант-Маг	не утв.	гуманоид, анимация=женщина-маг	yaga02.CRE
Lieutenant Thief	(н/у)	Лейтенант-Вор	не утв.	гуманоид, анимация=женщина-вор	yaga05.CRE
Life Support Creature	(н/у)	Существо поддержания жизни	не утв.	гуманоид, анимация=DOOM_GUARD - 2565	life01.CRE
Lightning Mephit	(н/у)	Мефит молний	не утв.	гуманоид, анимация=имп	famlight.CRE
Liia Jannath	(н/у)	Лиия Джанат	не утв.	гуманоид, анимация=женщина-маг	liia.CRE
Lin	(н/у)	Лин	не утв.	гуманоид, анимация=спящий эльф	lin.CRE
Lindin	(н/у)	Линдин	не утв.	гуманоид, анимация=мужчина-боец	lindin.CRE
Lion	(н/у)	Лев	не утв.	животное, анимация=GREATCAT_LEOPARD - 32523	catlio01.CRE
Lise	(н/у)	Лайза	не утв.	гуманоид, анимация=девочка	trkid01.CRE
Lissa	Лисса	Лисса	нет	гуманоид, анимация=CLERIC_FEMALE_GNOME - 24596	lissa.CRE
Lithel	Литель	в диалоге нет	да	(-)	(-)
Lium the Lucky	Счастливчик Льюм	(-)	да	маг	(-)
Lizard Man	(н/у)	Человек-ящер	не утв.	монстр, анимация=IC_LIZARDCASTER1 - 58624	bazliz03.CRE
Lizard Man Captain	(н/у)	Человек-ящер Капитан	не утв.	монстр, анимация=IC_LIZARDCASTER1 - 58624	bazliz04.CRE
Lizard Man Shaman	(н/у)	Человек-ящер Шаман	не утв.	гуманоид, анимация=IC_LIZARDCASTER1 - 58624	bazliz01.CRE
Llarsh	Лларш	Лларш	нет	гуманоид, анимация=дворянин	llarsh.CRE
Lliira	Лира (н/у)	(-)	не утв.	(-)	(-)
Llindellyn	(н/у)	Ллинделлин - Ллинделин	не утв.	гуманоид, (надо посмотреть в БГ1)	LLINDE.CRE
Llylla	Ллилла	Ллилла	нет	олень	llylla.CRE
Llyna	Ллина (н/у)	(-)	не утв.	(-)	(-)
Llynis	(н/у)	Ллинис	не утв.	гуманоид, анимация=мужчина-дварф-вор	llynis.CRE
Lobar	(н/у)	Лобар	не утв.	гуманоид, анимация=мужчина-боец	lobar.CRE
Lolth	Лолс	(-)	да	Богия Хаоса, Паучья Королева темных эльфов	(-)
Long Po	(н/у)	Длинный По	не утв.	гуманоид, анимация=мужчина-монах	tobpar03.CRE
Lonk the Sane	(н/у)	Лонк Благоразумный	не утв.	гуманоид, анимация=мужчина-дварф-маг	ppworker.CRE
Looxil	Луксил (н/у)	(-)	не утв.	(-)	(-)
Lord Arnise	Лорд Арнис	Лорд Арнис	нет	отец Налии (Nalia)	(-)
Lord Baeron	Лорд Бэйрон (н/у)	(-)	не утв.	(-)	(-)
Lord Binky the Buffoon	(н/у)	Лорд Бинки Буффон	не утв.	гуманоид, анимация=дворянин	binky.CRE
Lord Farthington Roenal	Лорд Фартингтон Роэналл	Лорд Фартингтон Роеналл	да	гуманоид, анимация=дворянин	farthin.CRE
Lord Feveran	(н/у)	Лорд Фиверан	не утв.	гуманоид, анимация=дворянин	bnoble1.CRE
Lord Foreshadow	(н/у)	Лорд Форешадоу	не утв.	гуманоид, анимация=дворянин	foresh.CRE
Lord Igen	Лорд Айген	(-)	да	(-)	(-)
Lord Igen Tombelthen	(н/у)	Лорд Иган Томболтен	не утв.	гуманоид, анимация=мужчина-боец	rigen01.CRE
Lord Jierdan	(н/у)	Лорд Джердан	не утв.	животное, анимация=мужчина-боец	firkra01.CRE
Lord Ketlaar Argrim	Лорд Кетлаар Аргрим	Лорд Кетлаар Аргрим	нет	гуманоид, анимация=дворянин	argrim.CRE
Lord Khellon Menold	(н/у)	Лорд Киллон Менлод	не утв.	гуманоид, анимация=мужчина-полурослик-клерик	trevil01.CRE
Lord Logan Coprith	Лорд Логан Коприт (н/у)	(-)	не утв.	нач. в Трейдмите	(-)
Lord Logan's Guard	(н/у)	Стража лорда Логана	не утв.	гуманоид, анимация=мужчина-боец	trlgrd01.CRE
Lord Milsire Donderbeg	(н/у)	Лорд Милсир Дондербег	не утв.	гуманоид, анимация=дворянин	fulord.CRE
Lord Ophal	(н/у)	Лорд Офал	не утв.	гуманоид, анимация=STATIC_NOBLE_MAN_CHAIR - 16384	noblem3.CRE
Lord Roenall	Лорд Роэналл	Лорд Роенал	да	гуманоид, анимация=мужчина-боец	kproen01.CRE
Lord Skarmaen Alibakkar	(н/у)	Лорд Скармен Алибаккер	не утв.	гуманоид, анимация=мужчина-маг	trcut06.CRE
Lord Sterk	(н/у)	Лорд Стерк	не утв.	гуманоид, анимация=STATIC_NOBLE_MAN - 46592	ffcust09.CRE
Lord Tanislove	Лорд Танислов (н/у)	(-)	не утв.	(-)	(-)
Loren	(н/у)	Лорен	не утв.	гуманоид, анимация=мальчик	drshlo01.CRE
Lost Child	(н/у)	Потерявшийся ребенок	не утв.	гуманоид, анимация=девочка	dlost.CRE
Lothander	(н/у)	Лотандер	не утв.	гуманоид, анимация=мужчина-вор	lothan.CRE
Louise	(н/у)	Луиза	не утв.	гуманоид, анимация=девочка	louise.CRE
Loup Garou	(н/у)	Лоуп Гароу	не утв.	гуманоид, анимация=WEREWOLF_GREATER - 32257	barwlf.CRE
Love	(н/у)	Любовь	не утв.	гуманоид, анимация=FIGHTER_FEMALE_DWARF - 2485	lovem.CRE
Loviatar	Ловиатар (н/у)	(-)	не утв.	(-)	(-)
Lucerne	Люцерна	(-)	да	(-)	(-)
Lucette	(н/у)	Люсетта	не утв.	гуманоид, анимация=эльфийка-вор	harpass1.CRE
Lucky Aello	(н/у)	Счастливчик Айелло	не утв.	гуманоид, анимация=STATIC_FAT_MAN - 468	lucky.CRE
Lucy	(н/у)	Люси	не утв.	монстр, анимация=WYVERN - 496	amwyvern.CRE
Ludrug	Людруг (н/у)	(-)	не утв.	(-)	(-)
Lum the Mad	Люм Безумный (н/у)	(-)	не утв.	создатель одноименной машины в Башне Наблюдателя	(-)
Lunisia	Лунисия	Ланисия	да	гуманоид, анимация=MAGE_FEMALE_ELF_LOW - 219	ffactor2.CRE
Lurraxol	Люрраксол (н/у)	(-)	не утв.	(-)	(-)
Lurraxol Guard	(н/у)	Охранник Люрраксолов	не утв.	гуманоид, анимация=мужчина-клерик	trfued02.CRE
Lusselyn	(н/у)	Ласселин	не утв.	гуманоид, анимация=мужчина-боец	lussel.CRE
Ma Jansen	(н/у)	Ма Янсен	не утв.	гуманоид, анимация=FIGHTER_FEMALE_GNOME - 24852	majan.CRE
Machine of Lum	(н/у)	Машина Лама	не утв.	монстр, анимация=птица	gorlum.CRE
Machine of Lum the Mad	(н/у)	Машина Лама Безумного	не утв.	монстр, анимация=птица	gorlum.CRE
Mad Arcand	(н/у)	Мэд Арканд	не утв.	гуманоид, анимация=мужчина-дварф-клерик8	madarc.CRE
Mad Cleric	(н/у)	Сумасшедший священник	не утв.	гуманоид, анимация=мужчина-маг	dcleric.CRE
Madam Nin	(н/у)	Мадам Нин	не утв.	гуманоид, анимация=дворянка	madam.CRE
Madeen	Мадин	Мадин	нет	гуманоид, анимация=крестьянин	madeen.CRE
Madman Aganalo	(н/у)	Безумец Аганало	не утв.	гуманоид, анимация=мужчина-боец	udtrap01.CRE
Madulf	Мадульф	Мадульф	нет	огр из предместий Имнесвиля	uhogre01.CRE
Mae'var	Мэй'вар	Маевар	да	глава воровской гильдии	ambmaevr.CRE
Maferan	Маферан	Маферан	нет	гуманоид, анимация=IC_MINOTAUR - 57456	hlmafer.CRE
Mage	(н/у)	Маг	не утв.	гуманоид, анимация=MAGE_MALE_HUMAN_LOW - 2992	amcst04.CRE
Maggie	(н/у)	Мэгги	не утв.	гуманоид, анимация=дворянка	mourner4.CRE
Magic Golem	(н/у)	Магический Голем	не утв.	гуманоид-гигант, анимация=ELEMENTAL_FIRE_PURPLE - 29458	golmag01.CRE
Magical Sword	(н/у)	Магический Меч	не утв.	гуманоид, анимация=эльф-боец	statue01.CRE
Magma Mephit	(н/у)	Мефит магмы	не утв.	гуманоид, анимация=имп	elemep05.CRE
Magnet	(н/у)	Магнит	не утв.	монстр, анимация=DOOM_GUARD - 2565	ppinvi01.CRE
Mahar	(н/у)	Махар	не утв.	гуманоид, анимация=мужчина-монах	parmonk.CRE
Maharajah	(н/у)	Махараджа	не утв.	гуманоид, анимация=ракшаса	mdrak.CRE
Maheer	(н/у)	Махир	не утв.	гуманоид, анимация=толстяк	shop03.CRE
Mairyn	Мэйрин	Маэрин	да	гуманоид, анимация=SIRINE - 8192	rspirit1.CRE
Majira	(н/у)	Маджира	не утв.	гуманоид, анимация=CLERIC_FEMALE_HUMAN_LOW - 2496	ammajira.CRE
Major Domo	(н/у)	Мажордом	не утв.	гуманоид, анимация=дворянин	kpdomo01.CRE
Maka	(н/у)	Мака	не утв.	гуманоид, анимация=мужчина-боец	maka.CRE
Makal of the Pine	Макал Сосновый (н/у)	(-)	не утв.	друид отшельник, создавший дубину Скрежет	(-)
Mal-Kalen	(н/у)	Мэл-Кэлен	не утв.	нежить, (надо посмотреть в БГ1)	MALKAL.CRE
Malacazar	(н/у)	Малаказар	не утв.	гуманоид, анимация=мужчина-маг	jamage2.CRE
Malar	Малар	(-)	да	Бог, Повелитель Зверей	(-)
Malario Soldier	(н/у)	Солдат Маларио	не утв.	гуманоид, анимация=мужчина-боец	clmalg01.CRE
Malchor Harpell	(н/у)	Малчор Харпел	не утв.	гуманоид, анимация=мужчина-маг	c6harp.CRE
Malkax	(н/у)	Малках	не утв.	гуманоид, анимация=хобгоблин	malkax.CRE
Malla	(н/у)	Малла	не утв.	гуманоид, анимация=спящая женщина	malla01.CRE
Maltz	(н/у)	Мальц	не утв.	гуманоид, анимация=толстяк	maltz.CRE
Malvolio	(н/у)	Мальволио	не утв.	гуманоид, анимация=дворянин	kprang02.CRE
Man-at-Arms	(н/у)	Человек-в-Доспехах	не утв.	гуманоид, анимация=мужчина-боец	mgketg01.CRE
Mane	(н/у)	Мэйн	не утв.	гуманоид, анимация=GHOUL - 3464	mane.CRE
Maneira	(н/у)	Манейра	не утв.	гуманоид, анимация=женщина-вор	maneir.CRE
Maple Willow Aspen	(н/у)	Мейпл Уиллоу Аспен	не утв.	гуманоид, анимация=крестьянка	maple.CRE
Maralee	(н/у)	Маралее	не утв.	гуманоид, анимация=женщина-клерик	marale.CRE
Marcellus	(н/у)	Марцеллус	не утв.	гуманоид, анимация=мужчина-маг	marcel.CRE
Marcus	(н/у)	Маркус	не утв.	гуманоид, анимация=крестьянин	bdact06.CRE
Marek	(н/у)	Марек	не утв.	гуманоид, анимация=мужчина-вор	marek.CRE
Margie	(н/у)	Марджи	не утв.	гуманоид, анимация=крестьянка	uhfarm03.CRE
Marilith	Марилит	Марилис	да	монстр, анимация=IC_MERILITH - 57488	demosum1.CRE
Marl	(н/у)	Марл	не утв.	гуманоид, анимация=мужчина-боец	marl.CRE
Marlowe	(н/у)	Марлоу	не утв.	гуманоид, анимация=дворянин	marlowe.CRE
Martur	(н/у)	Мартюр	не утв.	гуманоид, анимация=крестьянин	trmtow02.CRE
Mary Magnus	Мэри Магнус	(-)	да	(-)	(-)
Mask	Маск	Маска	да	Бог, Повелитель Теней	(-)
Mastav	(н/у)	Мастав	не утв.	гуманоид, анимация=крестьянин	trgyp01.CRE
Master Bennon	(н/у)	Мастер Беннон	не утв.	гуманоид, анимация=мужчина-монах	senmonk.CRE
Master of Thralls	(н/у)	Хозяин Рабов	не утв.	монстр, анимация=танарри	pmaster.CRE
Master Verthan	(н/у)	Мастер Вертан	не утв.	гуманоид, анимация=CLERIC_MALE_HUMAN_LOW - 248	cechal02.CRE
Master Whip	(н/у)	Мастер Хлыста	не утв.	гуманоид, анимация=KUO-TOA_LARGE - 32552	udkuo02.CRE
Mateo	(н/у)	Матео	не утв.	гуманоид, анимация=мужчина-боец	sarmat01.CRE
Matron Mother Ardulace	(н/у)	Мать Матрона Ардулейс	не утв.	гуманоид, анимация=женщина-дроу	cuardul.CRE
Matron's Guard	(н/у)	Охранник Матроны	не утв.	гуманоид, анимация=эльф-боец	uddrow01.CRE
Maunu	(н/у)	Мауну	не утв.	гуманоид, анимация=STATIC_PEASANT_MAN_STOOL - 16641	crodru01.CRE
Maurezhi	Маурежи	Мауречи	да	монстр, анимация=IC_LICHBLACK - 57424	demmau01.CRE
Mayor Wainwright	Староста Уэйнрайт	(-)	да	(-)	(-)
Mazzy	Маззи	Маззи	нет	гуманоид, анимация=женщина-полурослик-боец	mazzy11.CRE
Mazzy	Маззи	Маззи	нет	NPC, боец	mazzy11.CRE
Mazzy Fentan	Маззи Фентан	(-)	да	NPC, боец	(-)
Meakin	(н/у)	Микин	не утв.	гуманоид, анимация=мужчина-вор	meakin.CRE
Meck	(н/у)	Мек	не утв.	гуманоид, анимация=мальчик	bdgoph01.CRE
Meiala the Sirine	(н/у)	Мейала Сирена	не утв.	гуманоид, анимация=SIRINE - 8192	meiala.CRE
Meilum	(н/у)	Мейлим	не утв.	гуманоид, анимация=мужчина-боец	meilum.CRE
Mekrath	Мекрат	Мекрат	нет	маг	gmage14.CRE
Melicamp	(н/у)	Меликамп	не утв.	гуманоид, анимация=цыпленок (курица)	melica.CRE
Melissan	(н/у)	Мелиссан	не утв.	гуманоид, анимация=женщина-маг	cutmelis.CRE
Melissan the Blackhearted	Мелиссан Черное Сердце	(-)	да	(-)	(-)
Mencar Pebblecrusher	(н/у)	Менкар Камнелом	не утв.	гуманоид, анимация=мужчина-дварф-боец	sevpat01.CRE
Mendas	(н/у)	Мендас	не утв.	гуманоид, анимация=мужчина-маг	mendas.CRE
Mephit Portal	(н/у)	Портал Беса	не утв.	гуманоид, анимация=DOOM_GUARD - 2565	mephsp1.CRE
Mercenary	(н/у)	Наемник	не утв.	гуманоид, анимация=FIGHTER_MALE_HUMAN_LOW - 2736	amarch02.CRE
Mercenary Captain	(н/у)	Капитан Наемников	не утв.	гуманоид, анимация=FIGHTER_MALE_HUMAN_LOW - 2736	amcapt01.CRE
Mercenary of Riatvin	(н/у)	Наемник Риатавина	не утв.	гуманоид, анимация=FIGHTER_MALE_HUMAN_LOW - 2736	loutm01.CRE
Merchant	(н/у)	Торговец	не утв.	гуманоид, анимация=толстяк	aemerch.CRE
Merchant League Guard	(н/у)	Охранник Торговой Лиги	не утв.	гуманоид, анимация=мужчина-боец	leaggu1.CRE
Meredath	(н/у)	Меридат	не утв.	Нежить, анимация=женщина-вампир	c6mere.CRE
Merella	Мерелла	Мерелла	нет	следопыт из Холмов Умар	uhrang01.CRE
Merinid	(н/у)	Меринид	не утв.	гуманоид, анимация=эльф-боец	uddrow07.CRE
Merlinious	(н/у)	Мерлиниус	не утв.	гуманоид, анимация=кобольд	ysgp02.CRE
Meronia	(н/у)	Мерония	не утв.	гуманоид, анимация=эльфийка-вор	jameroni.CRE
Messenger	(н/у)	Поссланник	не утв.	гуманоид, анимация=FIGHTER_MALE_DWARF_LOW - 2738	aemess.CRE
Metigo the Butler	(н/у)	Дворецкий Метиго	не утв.	гуманоид, анимация=крестьянин	kpbutl01.CRE
Metrich Footman	(н/у)	Метрич Футмен	не утв.	гуманоид, анимация=мужчина-боец	plmetg01.CRE
Metrich Yeoman	(н/у)	Метрич Йоман	не утв.	гуманоид, анимация=мужчина-боец	plmetg02.CRE
Meym	(н/у)	Меим	не утв.	гуманоид, анимация=мужчина-вор	memnis.CRE
Michael	(н/у)	Майкл	не утв.	гуманоид, анимация=мужчина-вор	michae.CRE
Mick Feelie	(н/у)	Мик Фили	не утв.	гуманоид, анимация=крестьянин	mick.CRE
Midnight	Миднайт	(-)	да	смертная, заменившая Мистру	(-)
Mielikki	Майликки	(-)	да	Богиня	(-)
Milil	Майлил (н/у)	(-)	не утв.	(-)	(-)
Militia Captain	(н/у)	Капитан Милиции	не утв.	гуманоид, анимация=FIGHTER_MALE_HUMAN_LOW - 2736	sarmil02.CRE
Militia Guard	(н/у)	Стражник	не утв.	гуманоид, анимация=мужчина-боец	sargrd01.CRE
Militia Soldier	(н/у)	Солдат Милиции	не утв.	гуманоид, анимация=FIGHTER_MALE_HUMAN_LOW - 2736	sarmil01.CRE
Militia Wizard	(н/у)	Волшебник Милиции	не утв.	гуманоид, анимация=мужчина-маг	trfued11.CRE
Min Mining	Мин Минлинь	Мин Минлинг	да	гуманоид, анимация=мужчина-гном-боец	uhmer02.CRE
Min Minling	Мин Минлинь	Мин Минлинг	да	торговец из Имнесвейла	uhmer02.CRE
Mind Flayer	(н/у)	Ловец разума	не утв.	гуманоид, анимация=ловец разума	damind1.CRE
Miner	(н/у)	Шахтер	не утв.	гуманоид, анимация=крестьянин	dead.CRE
Miner Beldin	(н/у)	Шахтер Белдин	не утв.	гуманоид, анимация=раб	beldin.CRE
Miner Bob	(н/у)	Шахтер Боб	не утв.	гуманоид, анимация=раб	bob.CRE
Miner Cory	(н/у)	Шахтер кори	не утв.	гуманоид, анимация=раб	cory.CRE
Miner Dilak	(н/у)	Шахтер Дилак	не утв.	гуманоид, анимация=раб	dilak.CRE
Miner Dink	(н/у)	Шахтер Динк	не утв.	гуманоид, анимация=раб	dink.CRE
Miner Gord	(н/у)	Шахтер Горд	не утв.	гуманоид, анимация=раб	gord.CRE
Miner Kylee	(н/у)	Шахтер Кайли	не утв.	гуманоид, анимация=раб	kylee.CRE
Miner Lesley	(н/у)	Шахтер Лесли	не утв.	гуманоид, анимация=раб	lesley.CRE
Miner Marvin	(н/у)	Шахтер Мервин	не утв.	гуманоид, анимация=раб	marvin.CRE
Miner Ruffie	(н/у)	Шахтер Раффи	не утв.	гуманоид, анимация=раб	ruffie.CRE
Mineral Mephit	(н/у)	Каменный мефит	не утв.	гуманоид, анимация=имп	elemep07.CRE
